"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number"
"C1,C5,C6,C8,C12,C13","6","470pF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","Murata","GCM1555C1H102FA16D","81-GCM1555C1H102FA6D"
"C2,C10,C16","3","10000pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","Murata","GCM155R71H103KA55J","81-GCM155R71H103KA5J"
"C3,C9,C15","3","100pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","Murata","GCM1555C1H101FA16D","81-GCM1555C1H101FA6D"
"C4,C7,C14","3","1pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","Murata","GCM1555C1H1R0CA16J","81-GCM1555C1H1R0CA6J"
"FL1,FL2","2","HFCG-440+","","","","HFCG_440:HFCG440","https://www.minicircuits.com/WebStore/dashboardPdf?model=HFCG-440%2B","Mini-Circuits","HFCG-440+","139-HFCG-440+"
"FL3,FL6","2","LFCN-6000","","","","Filter:Filter_Mini-Circuits_FV1206","https://www.minicircuits.com/pdfs/LFCN-6000+.pdf","Mini-Circuits","LFCN-6000","139-LFCN-6000"
"IC1,IC3,IC5","3","PHA-102+","","","","PHA-102:PHA102","3dstepfile","Mini-Circuits","PHA-102+","139-PHA-102+"
"J1,J3","2","Conn_Coaxial","","","","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","~","RF Solutions","CON-SMA-EDGE-S","223-CON-SMA-EDGE-S"
"J4","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","Harwin","M20-9990246","855-M20-9990246"
"L1,L2,L3","3","390nH","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","Murata","LQW18CNR39J00D","81-LQW18CNR39J00D"
